,frequency,current
0,775551102.204409,0.0198078
1,900801603.206413,0.0231171
2,1001002004.00802,0.0263996
3,1126252505.01002,0.029748
4,1226452905.81162,0.033143
5,1376753507.01403,0.0365162
6,1476953907.81563,0.0397987
7,1602204408.81764,0.0431347
8,1702404809.61924,0.0465317
9,1827655310.62124,0.0497999
10,1952905811.62325,0.0531435
11,2053106212.42485,0.0565434
12,2178356713.42685,0.0598173
13,2303607214.42886,0.0631208
14,2428857715.43086,0.0664864
15,2529058116.23246,0.0697851
16,2654308617.23447,0.0731077
17,2779559118.23647,0.0765009
18,2879759519.03808,0.0797672
19,3005010020.04008,0.0831079
20,3130260521.04208,0.0865049
21,3230460921.84369,0.0898476
22,3355711422.84569,0.0931149
23,3480961923.8477,0.096509
24,3606212424.8497,0.0998259
25,3706412825.6513,0.103074
26,3831663326.65331,0.106483
27,3956913827.65531,0.109816
28,4057114228.45691,0.113084
29,4182364729.45892,0.116454
30,4307615230.46092,0.119817
31,4407815631.26253,0.123096
32,4533066132.26453,0.126483
33,4633266533.06613,0.12984
34,4758517034.06814,0.133115
35,4883767535.07014,0.136499
36,4983967935.87174,0.139792
37,5109218436.87375,0.143094
38,5234468937.87575,0.146465
39,5334669338.67735,0.149818
40,5459919839.67936,0.153181
41,5585170340.68136,0.156461
42,5685370741.48297,0.159801
43,5810621242.48497,0.163196
44,5910821643.28657,0.166463
45,6036072144.28858,0.16983
46,6161322645.29058,0.173212
47,6286573146.29259,0.176463
48,6386773547.09419,0.179792
49,6512024048.09619,0.183175
50,6612224448.8978,0.186452
51,6737474949.8998,0.18978
52,6862725450.9018,0.19318
53,6962925851.70341,0.196435
54,7088176352.70541,0.199783
55,7213426853.70742,0.203184
56,7313627254.50902,0.206539
57,7438877755.51102,0.20981
58,7539078156.31263,0.213185
59,7664328657.31463,0.216508
60,7789579158.31663,0.219773
61,7889779559.11824,0.223172
62,8015030060.12024,0.226512
63,8140280561.12224,0.229797
64,8265531062.12425,0.233166
65,8365731462.92585,0.236505
66,8465931863.72746,0.239759
67,8591182364.72946,0.243166
68,8716432865.73146,0.246527
69,8816633266.53307,0.249785
70,8941883767.53507,0.253182
71,9067134268.53708,0.256485
72,9167334669.33868,0.259758
73,9292585170.34068,0.263131
74,9417835671.34269,0.266499
75,9518036072.14429,0.269864
76,9643286573.14629,0.273145
77,9743486973.9479,0.276475
78,9868737474.9499,0.279861
79,9993987975.9519,0.283147
80,10119238476.9539,0.286493
81,10219438877.7555,0.289899
82,10344689378.7575,0.293165
83,10444889779.5591,0.29648
84,10570140280.5611,0.299856
85,10695390781.5631,0.303138
86,10795591182.3647,0.306488
87,10920841683.3667,0.30988
88,11021042084.1683,0.313125
89,11146292585.1703,0.316485
90,11271543086.1723,0.319879
91,11371743486.9739,0.323206
92,11496993987.976,0.326499
93,11597194388.7776,0.329883
94,11722444889.7796,0.333193
95,11847695390.7816,0.336458
96,11947895791.5832,0.339859
97,12073146292.5852,0.343189
98,12198396793.5872,0.346475
99,12273547094.1884,0.349154
100,12298597194.3888,0.349104
101,12173346693.3868,0.346472
102,12073146292.5852,0.343187
103,11947895791.5832,0.339859
104,11847695390.7816,0.336455
105,11747494989.98,0.33319
106,11622244488.978,0.329883
107,11496993987.976,0.326497
108,11371743486.9739,0.323206
